District,State,No. Of Applications Received,No. Of Applications not Verified,No. Of Applications Verified,No. of Applications Approved,No. of Applications Approved having Aadhar No.,No. of Applications Rejected,No. of Applications Pullback,No. of Applications Closed,No. of Constructed Toilet Photo,No. of Commenced Toilet Photo,No. of Constructed Toilet Photo through Swachhalaya
South Andaman,Andaman & Nicobar Islands,11,8,0,0,0,0,0         ,3,0,0,41
Daman ,Daman & Diu,415,1,294,294,287,10,2         ,108,296,0,0
Diu ,Daman & Diu,682,4,375,375,272,292,0         ,11,375,1,1
Araria,Bihar,6170,1112,4950,2538,273,104,1         ,3,1611,1953,11
Arwal ,Bihar,4478,173,3508,742,218,26,2         ,769,994,649,3
Aurangabad,Bihar,4430,978,3078,2115,838,213,12        ,149,1509,613,21
Banka ,Bihar,2765,860,1818,1638,860,78,4         ,5,818,296,5
Begusarai ,Bihar,47619,8648,36283,34348,19186,899,23        ,1766,6335,9337,10
Bhagalpur ,Bihar,15966,2436,13316,11964,8508,169,9         ,36,6007,3577,35
Bhojpur,Bihar,13500,2298,10781,9338,4397,149,11        ,261,3401,3168,11
Buxar ,Bihar,4257,100,4095,3218,869,59,3         ,0,2158,868,12
Darbhanga,Bihar,11101,3914,6750,5930,1744,413,7         ,17,2844,3202,23
Gaya,Bihar,19869,6836,12042,9632,8132,913,16        ,62,3291,4768,13
Gopalganj,Bihar,6403,596,5713,4239,972,47,2         ,45,1199,1956,4
Jamui ,Bihar,8029,1919,6032,5929,1089,25,0         ,53,2510,2738,5
Jehanabad ,Bihar,6401,1815,4544,3659,1533,22,3         ,17,658,1894,5
Kaimur(Bhabua),Bihar,2559,162,2001,1885,828,377,4         ,15,1105,508,21
Katihar ,Bihar,14699,1771,12716,8987,6727,169,5         ,38,285,5592,6
Khagaria ,Bihar,6014,2688,3130,2028,501,186,3         ,7,414,469,7
Kishanganj ,Bihar,12168,3644,8429,7381,4213,81,9         ,5,2452,2913,1
Lakhisarai ,Bihar,5254,162,5051,1796,1387,36,1         ,4,1096,723,1
Madhepura ,Bihar,9791,2380,7365,7275,5608,22,3         ,21,1636,6027,10
Madhubani ,Bihar,16077,2787,12953,8358,3409,163,30        ,144,1772,5070,48
Munger ,Bihar,10583,388,10155,8346,5830,34,3         ,3,2044,3556,6
Muzaffarpur ,Bihar,12970,395,11813,5759,4084,699,9         ,54,2290,2683,7
Nalanda,Bihar,14323,1099,12946,12772,9140,67,1         ,210,5383,4969,5
Nawada ,Bihar,2245,191,1996,1809,990,44,2         ,12,834,433,4
Paschim Champaran,Bihar,14481,2226,10231,9099,6788,1089,13        ,922,2369,3403,15
Patna ,Bihar,32584,10000,19165,13328,7404,3146,27        ,246,5013,6779,40
Purba Champaran,Bihar,34705,14879,17187,14486,7225,2349,31        ,259,2863,7732,11
