S.No,State,No. Of Applications Received,No. Of Applications not Verified,No. Of Applications Verified,No. of Applications Approved,No. of Applications Approved having Aadhar No.,No. of Applications Rejected,No. of Applications Pullback,No. of Applications Closed,No. of Constructed Toilet Photo,No. of Commenced Toilet Photo,No. of Constructed Toilet Photo through Swachhalaya
1,Andaman & Nicobar Islands,11,8,0,0,0,0,0,3,0,0,41
2,Andhra Pradesh,386750,15726,191506,191500,191324,0,25,179493,191870,24,34
3,Arunachal Pradesh,2140,537,1568,1074,952,32,1,2,1820,40,1
4,Assam,248399,135665,14913,8484,7,9962,71,87788,1078,232,80
5,Bihar,458151,109225,326599,259710,141701,13879,360,8088,86103,114904,501
6,Chandigarh,6120,3,6117,6117,0,0,0,0,6117,0,2
7,Chhattisgarh,390049,57520,282378,241245,124594,47375,435,2341,295815,993,250
8,Dadra & Nagar Haveli,1527,0,1177,1177,1135,320,0,30,1178,0,0
9,Daman & Diu,1097,5,669,669,559,302,2,119,671,1,1
10,Delhi,13784,216,707,380,248,12758,38,65,461,40,51
11,Goa,2407,96,2258,2179,2163,30,3,20,608,1138,2
12,Gujarat,676301,590,512940,512837,51,26554,29,136188,509722,28,63
13,Haryana,103523,11897,67147,64200,55372,22341,108,2030,47346,1442,193
14,Himachal Pradesh,5450,1050,3003,2349,2094,974,8,415,1281,108,8
15,Jammu & Kashmir,83811,22206,49960,38898,9826,9669,15,1961,11028,2792,53
16,Jharkhand,259301,1156,209906,209906,180066,14950,56,33233,210083,73,193
17,Karnataka,396599,38160,322696,304768,235456,33206,104,2433,138992,31588,1
18,Kerala,44954,11248,27776,24356,20890,5387,29,514,18502,1166,341
19,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
20,Madhya Pradesh,851687,119392,562370,522217,249416,132913,208,36804,469342,3632,270
21,Maharashtra,968070,84600,765582,667788,503087,104409,385,13094,552794,23133,487
22,Manipur ,25095,5713,18416,14352,11031,808,12,146,4439,756,8
23,Meghalaya,289,68,166,6,0,55,0,0,1,2,2
24,Mizoram,1644,151,1348,1172,904,54,3,88,869,26,0
25,Nagaland,25608,25048,530,1,0,1,13,16,287,10,0
26,Odisha,241470,21935,202425,188939,91421,16274,35,801,41117,7247,43
27,Puducherry ,9248,741,6740,6584,6107,1715,10,42,1474,68,2
28,Punjab,100741,13880,79284,68306,50157,6646,28,903,45280,4678,2219
29,Rajasthan,451128,26151,348975,337460,229002,62552,208,13242,271195,7475,795
30,Sikkim,1011,1,1002,989,944,6,0,2,776,5,2
31,Tamil Nadu,507324,43385,429720,388717,295719,25145,110,8964,327578,7242,374
32,Telangana,221745,99894,121827,121827,117254,0,15,9,121878,12,25
33,Tripura,280,265,0,0,0,1,2,12,4,0,1
34,Uttar Pradesh,2728429,218577,794630,731832,529517,1531633,4331,179258,268408,137666,10241
35,Uttarakhand,22795,6467,13829,11455,4409,2147,25,327,5284,808,110
36,West Bengal,125536,64760,21059,16842,5473,3145,115,36457,23147,114,183
